"Time send/recv" Initialise Finalise nfields operation io_nodes servers_per_node client_nodes xios_version
0.0013475129999278 0.799414052999964 3.031939050999881 1 write 4 12 8 xios-2
0.2253528590003952 0.8168472209999891 8.69600537600013 8 write 8 1 1 xios-2
0.0130643270000518 0.9018620279999824 12.10421316999998 8 write 1 8 8 xios-3
0.0192670570000359 1.0433010339999953 5.841944253000008 16 write 4 8 16 xios-3
0.1782866840003407 0.7386552250000022 58.26211697000008 32 write 1 8 8 xios-2
0.2112352920005378 0.6627175109999826 43.7432794419999 32 write 1 12 8 xios-2
0.560099302000026 0.9607798199999706 40.437042722 32 write 1 12 1 xios-3
0.2431323530000781 0.8615767660000984 4.666447579000078 8 write 4 12 1 xios-2
0.016126985000028 1.0448367740000322 12.059504924999942 8 write 1 8 8 xios-3
0.0044666930002676 1.0091040300003442 2.072092313000212 1 write 4 1 8 xios-3
0.0099992580001071 1.3367239590000963 4.062489130000017 8 write 4 8 16 xios-3
0.0199575319998075 0.8349133839997194 1.0516573029999563 1 write 4 8 1 xios-3
4.482900223999877 1.1083218109999962 0.6078048079999689 16 read 4 12 1 xios-3
0.5568040239998027 0.8171708849999959 46.20121836499993 32 write 1 8 1 xios-3
0.0246117929996216 0.7727582789998451 0.8255879019998247 1 write 8 8 1 xios-2
0.2320090080002046 0.6483695289999787 22.874986698000043 32 write 8 1 8 xios-2
0.0026935050000247 1.036846876999789 1.0704240430000027 1 write 4 12 8 xios-3
0.003709670999342 1.309058405000087 8.504640815999664 4 write 8 1 8 xios-2
0.2841902149998532 0.934010562000026 19.53531725800002 16 write 4 1 1 xios-3
0.0019307649999973 0.944886624999981 2.061478122000153 1 write 1 8 8 xios-3
0.2365818380001201 0.8676501999998436 1.6483978709998155 8 write 8 12 1 xios-2
0.0348988600003394 1.340717469999845 3.3344357700000278 16 write 8 12 8 xios-2
0.0288283930008219 1.0498059700003068 38.193849125999805 32 write 4 1 16 xios-3
0.0451897119999102 1.068302180000046 34.39740264099987 32 write 1 12 8 xios-3
0.004709393000212 1.220228870000028 2.0646453249999013 1 write 1 12 16 xios-3
29.965970635999952 1.9689674330001024 0.0704536129999269 4 read 4 1 16 xios-2
1.0700873190000948 1.2515982529998837 1.0464947230000234 4 read 8 8 16 xios-3
0.06177667799966 0.8268035730000065 3.213644783999825 16 write 8 12 8 xios-2
0.0211093289998416 1.048772998000004 33.722533080999995 32 write 1 12 16 xios-3
0.0068334869998807 1.713928162000002 13.782280553999954 16 write 8 1 16 xios-2
0.0064234429999601 1.6493350249999992 7.604655684999997 16 write 4 8 16 xios-2
0.0197761150002406 0.9300970260001122 2.044201115000305 1 write 4 1 1 xios-3
14.86983042199995 2.099750286000017 0.0656086960000266 16 read 8 1 16 xios-2
0.3300053770012709 0.7835330769999018 57.95631288000004 32 write 1 8 8 xios-2
0.066456356999879 0.9486019920000216 5.9812087600003 4 write 4 1 1 xios-3
0.0028546089999963 1.2632235109999783 10.097962982999888 4 write 1 1 16 xios-3
5.254368472999886 1.0133570130001317 0.801892553000016 8 read 4 1 1 xios-3
0.001164635000002 0.8092279110000007 0.9753778099999976 1 write 8 12 8 xios-2
3.82635307399994 2.010173302999988 0.01593294099996 16 read 8 12 16 xios-2
0.1240520659999333 0.950941145999991 11.920755105000012 8 write 1 8 1 xios-3
0.0050221420001435 1.1022946859998228 1.0688062809999792 1 write 8 12 16 xios-3
